"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://inc5shop.com/collections/platform-heels","1","Platform Heels for Women - Buy Womens Platform Sandals Online","61","587","Indexable",""
"https://inc5shop.com/collections/mens-slipons","1","Shop Premium Leather Mens Slip-on Shoes Online in India | Inc5","62","566","Indexable",""
"https://inc5shop.com/collections/men-footwear","1","Mens Footwear - Shop Stylish Men’s Shoes & Footwear Online | INC5","65","606","Indexable",""
"https://inc5shop.com/collections/mens-sandals","1","Men Sandals - Buy Premium Sandals for Men Online in India | Inc5","64","584","Indexable",""
"https://inc5shop.com/collections/mens-driving-shoes","1","Driving Shoes - Buy Driving Shoes for Men Online In India | Inc5","64","553","Indexable",""
"https://inc5shop.com/collections/women-footwear","1","Womens Footwear - Shop Premium Footwear For Women Online | Inc5","63","621","Indexable",""
"https://inc5shop.com/collections/transparent-heel-for-women","1","Transparent Heels - Buy Transparent Heels For Women Online | Inc5","65","600","Indexable",""
"https://inc5shop.com/products/women-white-and-multicoloured-open-toe-flats-with-knot-detail-101764-white","1","Buy Womens White And Multicoloured Open Toe Womens Flats | Inc5","63","613","Indexable",""
"https://inc5shop.com/collections/mens-formals","1","Formal Shoes For Men - Shop Men’s Formal Shoes Online in India","62","577","Indexable",""
"https://inc5shop.com/collections/ethnic-footwear","1","Ethnic Footwear​ - Buy Ethnic Footwear​ for Women Online | Inc5","63","556","Indexable",""
