"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://offlimits.co.in/","1","OFF LIMITS - Sports Shoes, Sneakers & Athleisure Apparel Online","63","573","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","1","Shop New Arrivals Collection Online at Offlimits","48","419","Indexable",""
"https://offlimits.co.in/collections/men-clothing","1","Buy Sports Wear for Men Online at Best Price Upto 60% off","57","516","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","1","Buy White Sneakers For Men at Best Price in India","49","440","Indexable",""
"https://offlimits.co.in/collections/women-track-suits","1","Buy the Latest Track Suits for Women Online","43","394","Indexable",""
"https://offlimits.co.in/collections/men-walking","1","Buy Walking Shoes for men Online at Best Price","46","421","Indexable",""
"https://offlimits.co.in/pages/shipping-policy","1","Shipping Policy for All Online Orders","37","317","Indexable",""
"https://offlimits.co.in/collections/women-lifestyle","1","Shop Trendy Women's Lifestyle Shoes Online | Off Limits","55","499","Indexable",""
"https://offlimits.co.in/pages/about-us","1","Largest Indian Manufacturer And Exporter Of Sportswear","54","501","Indexable",""
"https://offlimits.co.in/collections/women-hoodies-jackets","1","Shop Women's Athleisure Collection Hoodies & Jackets Online | Off Limits","72","652","Indexable",""
"https://offlimits.co.in/collections/limited-edition","1","Shop Exclusive Limited Edition Sneakers Collection Online | Off Limits","70","611","Indexable",""
"https://offlimits.co.in/collections/women-shoes","1","Buy Women's Sports, Running & Casual Shoes Online | Off Limits","62","570","Indexable",""
"https://offlimits.co.in/collections/low-top-shoes-for-men","1","Buy Men's Casual Low Top Sneakers Online | Off Limits","53","488","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","1","Buy Men's Running & Gym Shoes Online | Off Limits","49","454","Indexable",""
"https://offlimits.co.in/collections/stussy","1","Shop Trendy Sports & Lifestyle Stussy Sneakers Online | Off Limits","66","585","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men","1","Buy Men's Casual Black Shoes for Online | Off Limits","52","464","Indexable",""
"https://offlimits.co.in/collections/men-trail","1","Buy Men's Trail Running Shoes Online | Off Limits","49","435","Indexable",""
"https://offlimits.co.in/collections/women-pants-sweatpants","1","Buy Comfortable Sweatpants, Athleisure & Joggers for Women Online | Off Limits","78","716","Indexable",""
"https://offlimits.co.in/collections/men","1","Buy Shoes for Men and Sportswear Clothing at Offlimits","54","494","Indexable",""
"https://offlimits.co.in/collections/new-arrivals-2026","1","New Arrivals 2026 - Shop the Latest Trends Now!","47","431","Indexable",""
"https://offlimits.co.in/collections/women-sneakers","1","Buy Casual, Sports & Lifestyle Women's Sneakers Online | Off Limits","67","599","Indexable",""
"https://offlimits.co.in/collections/women-shorts","1","Buy Gym Shorts for Women Online at Best Price","45","422","Indexable",""
"https://offlimits.co.in/collections/women-tshirts-graphic-tees","1","Shop Women's Stylish Printed Graphic T-Shirts Online | Off Limits","65","574","Indexable",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks","1","Lifestyle with Recover Kicks for Men | OffLimits","48","416","Indexable",""
"https://offlimits.co.in/collections/men-basketball","1","Buy High Performance Men's Basketball Shoes Online | Off Limits","63","578","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","1","Shop Best Selling Men's Shoes, Sneakers & Apparel | Off Limits","62","555","Indexable",""
"https://offlimits.co.in/collections/performance","1","Shop Performance Sports Shoes for Running & Training Online | Off Limits","72","653","Indexable",""
"https://offlimits.co.in/collections/men-new-releases","1","Shop Men's Shoes, Sneakers & Apparel New Arrivals Online | Off Limits","69","623","Indexable",""
"https://offlimits.co.in/collections/men-hoodies-jackets","1","Shop Men's Hoodies & Jackets Collection Online | Off Limits","59","530","Indexable",""
"https://offlimits.co.in/collections/mens-sneakers","1","Buy Sneakers For Men Online at Best Price in India Upto 60% off","63","564","Indexable",""
"https://offlimits.co.in/collections/gym-training","1","Buy Gym & Training Performance Shoes Online | Off Limits","56","517","Indexable",""
"https://offlimits.co.in/collections/mens-sports-shoes","1","Buy Sports Shoes For Men Online at Best Price in India","54","481","Indexable",""
"https://offlimits.co.in/collections/big-tall","1","Shop Big & Tall Clothing & Footwear for Men Online | Off Limits","63","554","Indexable",""
"https://offlimits.co.in/collections/women-new-releases","1","Shop Women's New Arrivals Shoes & Athleisure Online | Off Limits","64","582","Indexable",""
"https://offlimits.co.in/collections/black-sneakers","1","Shop Men's Casual Black Sneakers Online | Off Limits","52","474","Indexable",""
"https://offlimits.co.in/collections/stussy-for-women","1","Shop Trendy Stussy Sneakers for Women Online | Off Limits","57","528","Indexable",""
"https://offlimits.co.in/collections/women-running-shoes","1","Buy Women's Lightweight Running Sports Shoes Online | Off Limits","64","590","Indexable",""
"https://offlimits.co.in/collections/women-sandals-sliders","1","Buy Comfortable Women's Sandals & Sliders Online | Off Limits","61","557","Indexable",""
"https://offlimits.co.in/pages/terms-conditions","1","Terms And Conditions Governing the Use Of This Website","54","507","Indexable",""
"https://offlimits.co.in/collections/women-sweatshirts","1","Shop Stylish Women's Sweatshirts & Athleisure Online | Off Limits","65","579","Indexable",""
"https://offlimits.co.in/collections/skate-sneakers","1","Shop Stylish Streetwear Skate Sneakers Online | Off Limits","58","514","Indexable",""
"https://offlimits.co.in/collections/women-gym-training","1","Buy Women's Gym & Training Shoes Online | Off Limits","52","483","Indexable",""
"https://offlimits.co.in/collections/men-tshirts-graphic-tees","1","Buy Men's Stylish Printed Graphic T-Shirts Online | Off Limits","62","533","Indexable",""
