"Address","Occurrences","Title 1","Title 1 Length","Title 1 Pixel Width","Indexability","Indexability Status"
"https://offlimits.co.in/","1","OFF LIMITS - Sports Shoes, Sneakers & Athleisure Apparel Online","63","573","Indexable",""
"https://offlimits.co.in/collections/women-hoodies-jackets","1","Shop Women's Athleisure Collection Hoodies & Jackets Online | Off Limits","72","652","Indexable",""
"https://offlimits.co.in/collections/limited-edition","1","Shop Exclusive Limited Edition Sneakers Collection Online | Off Limits","70","611","Indexable",""
"https://offlimits.co.in/collections/women-shoes","1","Buy Women's Sports, Running & Casual Shoes Online | Off Limits","62","570","Indexable",""
"https://offlimits.co.in/collections/stussy","1","Shop Trendy Sports & Lifestyle Stussy Sneakers Online | Off Limits","66","585","Indexable",""
"https://offlimits.co.in/collections/women-pants-sweatpants","1","Buy Comfortable Sweatpants, Athleisure & Joggers for Women Online | Off Limits","78","716","Indexable",""
"https://offlimits.co.in/collections/women-sneakers","1","Buy Casual, Sports & Lifestyle Women's Sneakers Online | Off Limits","67","599","Indexable",""
"https://offlimits.co.in/collections/women-tshirts-graphic-tees","1","Shop Women's Stylish Printed Graphic T-Shirts Online | Off Limits","65","574","Indexable",""
"https://offlimits.co.in/collections/men-basketball","1","Buy High Performance Men's Basketball Shoes Online | Off Limits","63","578","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","1","Shop Best Selling Men's Shoes, Sneakers & Apparel | Off Limits","62","555","Indexable",""
"https://offlimits.co.in/collections/performance","1","Shop Performance Sports Shoes for Running & Training Online | Off Limits","72","653","Indexable",""
"https://offlimits.co.in/collections/men-new-releases","1","Shop Men's Shoes, Sneakers & Apparel New Arrivals Online | Off Limits","69","623","Indexable",""
"https://offlimits.co.in/collections/mens-sneakers","1","Buy Sneakers For Men Online at Best Price in India Upto 60% off","63","564","Indexable",""
"https://offlimits.co.in/collections/big-tall","1","Shop Big & Tall Clothing & Footwear for Men Online | Off Limits","63","554","Indexable",""
"https://offlimits.co.in/collections/women-new-releases","1","Shop Women's New Arrivals Shoes & Athleisure Online | Off Limits","64","582","Indexable",""
"https://offlimits.co.in/collections/women-running-shoes","1","Buy Women's Lightweight Running Sports Shoes Online | Off Limits","64","590","Indexable",""
"https://offlimits.co.in/collections/women-sandals-sliders","1","Buy Comfortable Women's Sandals & Sliders Online | Off Limits","61","557","Indexable",""
"https://offlimits.co.in/collections/women-sweatshirts","1","Shop Stylish Women's Sweatshirts & Athleisure Online | Off Limits","65","579","Indexable",""
"https://offlimits.co.in/collections/men-tshirts-graphic-tees","1","Buy Men's Stylish Printed Graphic T-Shirts Online | Off Limits","62","533","Indexable",""
