"Address","Content Type","Status Code","Status","Indexability","Indexability Status"
"https://www.strique.io/","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/contact","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/customers/powerlook","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/customers/inc5","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/sitemap.xml","application/xml","200","OK","Indexable",""
"https://www.strique.io/customers","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/product","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/terms","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/for","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/pricing","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/solutions","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/privacy-policy","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/trust-center","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/about","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/security","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/customers/crimzon","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/integrations","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/integrations/hubspot","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/contact?intent=careers","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/integrations/google-ads","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/integrations/meta-ads","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers/ai-apprentice-program","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers/founding-customer-engineer","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers/revenue-marketer","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers/senior-full-stack-engineer","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers/product-designer","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers/agent-infrastructure-engineer","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers/applied-ml-researcher","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/careers/founding-growth-engineer","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/solutions/local-services","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/solutions/agencies","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/solutions/b2b-saas","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/solutions/ecommerce","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/contact?intent=sales","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/for/founders","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/for/cmos","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/for/marketing-managers","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/vs/strique-vs-jasper","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/vs","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/vs/strique-vs-adroll","text/html; charset=utf-8","200","OK","Indexable",""
"https://www.strique.io/contact?intent=demo","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=founding-growth-engineer","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=applied-ml-researcher","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=agent-infrastructure-engineer","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=product-designer","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=senior-full-stack-engineer","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=revenue-marketer","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=founding-customer-engineer","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=ai-apprentice-program","text/html; charset=utf-8","200","OK","Non-Indexable","Canonicalised"
