"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (Bytes)","Transferred (Bytes)","Total Transferred (Bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.strique.io/","text/html; charset=utf-8","200","OK","Indexable","","Agentic AI Marketing Platform for Growth Teams | Strique","56","509","Run paid media, SEO, content, lifecycle, and reporting from one agentic AI. The leading agentic AI for marketing — used by 1,247 marketers in 38 countries.","155","976","AI marketing,agentic AI for marketing,marketing agentic AI,agentic marketing platform,autonomous marketing,paid media automation,AI agents for marketing,marketing OS,growth platform","181","Marketing Agents for Ecommerce BrandsThat Actually Drive Revenue","64","Trusted by brands that aim to rock the moon.","44","That was a mouthful.","20","index, follow","","","https://www.strique.io/","","","","","","193263","34235","34235","5.074","","553","156","3.545","71.518","Fairly Easy","2.137","0","0","","98","49","0","100.000","27","18","0","9","5","0","","","","","31b5e74bc10e5200705185b9fffe8a1e","0.048","","","","","en","1.1","","","","","","https://www.strique.io/","2026-07-23 16:45:41"
"https://www.strique.io/images/badge-google-partner.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.071","","","","","","1.1","","","","","","https://www.strique.io/images/badge-google-partner.svg","2026-07-23 16:45:45"
"https://www.strique.io/contact","text/html; charset=utf-8","200","OK","Indexable","","Contact Strique Sales and Support · Strique","43","381","Book a demo, talk to sales, or ask a hard question. We reply within one business day.","85","534","AI marketing,agentic AI for marketing,marketing agentic AI,agentic marketing platform,autonomous marketing,paid media automation,AI agents for marketing,marketing OS,growth platform","181","Let's talk.","11","","0","","0","index, follow","","","https://www.strique.io/contact","","","","","","95723","21157","21157","3.135","","88","21","4.190","92.025","Very Easy","1.305","1","0","","52","49","0","100.000","21","14","0","7","6","0","","","","","522a5072805342ac4993efc5c4332b25","0.037","","","","","en","1.1","","","","","","https://www.strique.io/contact","2026-07-23 16:45:45"
"https://www.strique.io/brand/logomark.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.025","","","","","","1.1","","","","","","https://www.strique.io/brand/logomark.svg","2026-07-23 16:45:46"
"https://www.strique.io/customers/powerlook","text/html; charset=utf-8","200","OK","Indexable","","Powerlook Customer Case Study · Strique","39","367","Fast-fashion brand Powerlook used Strique to compress their creative cycle, scale acquisition, and grow revenue without proportionally adding ad spend or headcount.","164","1051","AI marketing,agentic AI for marketing,marketing agentic AI,agentic marketing platform,autonomous marketing,paid media automation,AI agents for marketing,marketing OS,growth platform","181","Powerlook grew revenue 72% while scaling user registrations and conversions.","76","More wins","9","Want numbers like these?","24","index, follow","","","https://www.strique.io/customers/powerlook","","","","","","117422","24998","24998","3.705","","279","52","5.365","76.460","Fairly Easy","2.174","1","1","","4","4","0","8.160","25","17","0","10","7","0","","","","","9257e2b6ad448490dc39806bffcafcc7","0.168","","","","","en","1.1","","","","","","https://www.strique.io/customers/powerlook","2026-07-23 16:45:45"
"https://www.strique.io/_next/static/chunks/3133-030be0d2786300d3.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.075","","","","","","1.1","","","","","","https://www.strique.io/_next/static/chunks/3133-030be0d2786300d3.js","2026-07-23 16:45:46"
"https://www.strique.io/images/badge-meta-business-partner.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.264","","","","","","1.1","","","","","","https://www.strique.io/images/badge-meta-business-partner.svg","2026-07-23 16:45:46"
"https://www.strique.io/brand/shopify%20partner%20logo.svg","image/svg+xml","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","1","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.085","","","","","","1.1","","","","","","https://www.strique.io/brand/shopify%20partner%20logo.svg","2026-07-23 16:45:46"
"https://www.strique.io/_next/static/css/b2dc23450bacdec9.css","text/css; charset=utf-8","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.030","","","","","","1.1","","","","","","https://www.strique.io/_next/static/css/b2dc23450bacdec9.css","2026-07-23 16:45:46"
"https://www.strique.io/_next/static/chunks/main-app-c2b548aebeff9f30.js","application/javascript","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","0","0","0","0.000","","0","","","","","0.000","1","3","","0","0","0","0.000","0","0","0","0","0","0","","","","","","0.274","","","","","","1.1","","","","","","https://www.strique.io/_next/static/chunks/main-app-c2b548aebeff9f30.js","2026-07-23 16:45:46"
