"Address","Errors","Warnings","Rich Result Errors","Rich Result Warnings","Rich Result Features","Feature-1","Total Types","Unique Types","Type-1","Indexability","Indexability Status"
"https://www.strique.io/","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/contact","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/customers/powerlook","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/customers/inc5","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/customers","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/product","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/terms","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/for","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/pricing","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/solutions","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/privacy-policy","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/trust-center","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/about","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/security","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/customers/crimzon","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/integrations","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/integrations/hubspot","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/contact?intent=careers","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/integrations/google-ads","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/integrations/meta-ads","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers/ai-apprentice-program","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers/founding-customer-engineer","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers/revenue-marketer","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers/senior-full-stack-engineer","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers/product-designer","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers/agent-infrastructure-engineer","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers/applied-ml-researcher","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/careers/founding-growth-engineer","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/solutions/local-services","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/solutions/agencies","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/solutions/b2b-saas","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/solutions/ecommerce","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/contact?intent=sales","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/for/founders","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/for/cmos","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/for/marketing-managers","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/vs/strique-vs-jasper","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/vs","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/vs/strique-vs-adroll","0","0","0","0","0","","0","0","","Indexable",""
"https://www.strique.io/contact?intent=demo","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=founding-growth-engineer","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=applied-ml-researcher","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=agent-infrastructure-engineer","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=product-designer","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=senior-full-stack-engineer","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=revenue-marketer","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=founding-customer-engineer","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
"https://www.strique.io/contact?intent=careers&role=ai-apprentice-program","0","0","0","0","0","","0","0","","Non-Indexable","Canonicalised"
