"Address","Occurrences","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","HTTP Canonical","Indexability","Indexability Status"
"https://offlimits.co.in/sitemap_products_2.xml?from=7924794359901&to=8185248022621","0","","","","","","Indexable",""
"https://offlimits.co.in/sitemap_products_1.xml?from=6628758749277&to=7924712079453","0","","","","","","Indexable",""
"https://offlimits.co.in/sitemap_pages_1.xml?from=80016310365&to=117621391453","0","","","","","","Indexable",""
"https://offlimits.co.in/sitemap_collections_1.xml?from=261691080797&to=313118425181","0","","","","","","Indexable",""
"https://offlimits.co.in/sitemap_blogs_1.xml","0","","","","","","Indexable",""
"https://offlimits.co.in/sitemap_agentic_discovery.xml","0","","","","","","Indexable",""
"https://offlimits.co.in/pages/technology","1","max-image-preview:large","","","https://offlimits.co.in/pages/technology","","Indexable",""
"https://offlimits.co.in/pages/store-gallery","1","max-image-preview:large","","","https://offlimits.co.in/pages/store-gallery","","Indexable",""
"https://offlimits.co.in/pages/sitemap","1","max-image-preview:large","","","https://offlimits.co.in/pages/sitemap","","Indexable",""
"https://offlimits.co.in/pages/return-exchange","1","max-image-preview:large","","","https://offlimits.co.in/pages/return-exchange","","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","1","max-image-preview:large","","","https://offlimits.co.in/pages/privacy-policy","","Indexable",""
"https://offlimits.co.in/pages/contact","1","max-image-preview:large","","","https://offlimits.co.in/pages/contact","","Indexable",""
"https://offlimits.co.in/collections/women-walking","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-walking","","Indexable",""
"https://offlimits.co.in/collections/women-tights","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-tights","","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-running-gym","","Indexable",""
"https://offlimits.co.in/collections/women-clothing","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-clothing","","Indexable",""
"https://offlimits.co.in/collections/women-bestsellers","1","max-image-preview:large","","","https://offlimits.co.in/collections/women-bestsellers","","Indexable",""
"https://offlimits.co.in/collections/women","1","max-image-preview:large","","","https://offlimits.co.in/collections/women","","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1","max-image-preview:large","","","https://offlimits.co.in/collections/white-shoes-for-men","","Indexable",""
"https://offlimits.co.in/collections/size-13-shoes","1","max-image-preview:large","","","https://offlimits.co.in/collections/size-13-shoes","","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","1","max-image-preview:large","","","https://offlimits.co.in/collections/s-w-a-t-men","","Indexable",""
"https://offlimits.co.in/collections/men-track-suits","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-track-suits","","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-sweatshirts","","Indexable",""
"https://offlimits.co.in/collections/men-shorts","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-shorts","","Indexable",""
"https://offlimits.co.in/collections/men-shoes/","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-shoes","","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-sandals-sliders","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-sandals-sliders","","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-running-shoes","","Indexable",""
"https://offlimits.co.in/collections/men-joggers-track-pants","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-joggers-track-pants","","Indexable",""
"https://offlimits.co.in/collections/men-gym-training","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-gym-training","","Indexable",""
"https://offlimits.co.in/collections/leather-shoes","1","max-image-preview:large","","","https://offlimits.co.in/collections/leather-shoes","","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","max-image-preview:large","","","https://offlimits.co.in/collections/high-top-shoes-for-men","","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","max-image-preview:large","","","https://offlimits.co.in/collections/casual-shoes-men","","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men?srsltid=AfmBOoqGT_qNT3Pt8Sb5bzRrxU_xuGBTzCCycxgJRfAaOm41ofyk63nI&utm_source=chatgpt.com","1","max-image-preview:large","","","https://offlimits.co.in/collections/black-shoes-for-men","","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/basketball-boots","1","max-image-preview:large","","","https://offlimits.co.in/collections/basketball-boots","","Indexable",""
"https://offlimits.co.in/collections/all","1","max-image-preview:large","","","https://offlimits.co.in/collections/all","","Indexable",""
"https://offlimits.co.in/blogs/blogs","1","max-image-preview:large","","","https://offlimits.co.in/blogs/blogs","","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men","1","max-image-preview:large","","","https://offlimits.co.in/collections/black-shoes-for-men","","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","1","max-image-preview:large","","","https://offlimits.co.in/collections/mens-bestsellers","","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","1","max-image-preview:large","","","https://offlimits.co.in/collections/mens-running-gym-shoes","","Indexable",""
"https://offlimits.co.in/collections/men-shoes","1","max-image-preview:large","","","https://offlimits.co.in/collections/men-shoes","","Indexable",""
"https://offlimits.co.in/collections/mens-shoes","1","max-image-preview:large","","","https://offlimits.co.in/collections/mens-shoes","","Indexable",""
"https://offlimits.co.in/checkouts/internal/preloads.js?locale=en-IN","0","","","","","","Indexable",""
