"Address","Occurrences","H2-1","H2-1 Length","H2-2","H2-2 Length","Indexability","Indexability Status"
"https://offlimits.co.in/pages/technology","1","technology","10","","0","Indexable",""
"https://offlimits.co.in/pages/store-gallery","5","Off Limits Store - Sonipat","26","Off Limits Store - Jaggi Mall","29","Indexable",""
"https://offlimits.co.in/pages/sitemap","3","Collections","11","Blogs","5","Indexable",""
"https://offlimits.co.in/pages/return-exchange","0","","0","","0","Indexable",""
"https://offlimits.co.in/pages/privacy-policy","0","","0","","0","Indexable",""
"https://offlimits.co.in/pages/contact","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/women-walking","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/women-tights","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/women-running-gym","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/women-clothing","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/women-bestsellers","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/women","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/white-shoes-for-men","1","White Shoes For Men | Style Meets Comfort With OffLimits","56","","0","Indexable",""
"https://offlimits.co.in/collections/size-13-shoes","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/s-w-a-t-men","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-track-suits","7","Tracksuits for Men","18","Offlimits Tracksuits for Men: A Blend of Sporty and Casual","58","Indexable",""
"https://offlimits.co.in/collections/men-sweatshirts","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-shorts","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-shoes/","4","Shoes for Men Who Train, Hustle & Live Loud","43","Why Shoes For Men Matter Right Now","34","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/men-sandals-sliders","3","Why Slippers for Men?","21","Core Build: What You Actually Step On","37","Indexable",""
"https://offlimits.co.in/collections/men-running-shoes","1","Running Shoes for Men: Step Up Your Game with Offlimits","55","","0","Indexable",""
"https://offlimits.co.in/collections/men-joggers-track-pants","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-gym-training","1","Training Shoes for Men. No Distractions. Just Performance.","58","","0","Indexable",""
"https://offlimits.co.in/collections/leather-shoes","1","Leather Sneaker: That One Pair You Will Reach For Again & Again","63","","0","Indexable",""
"https://offlimits.co.in/collections/high-top-shoes-for-men","1","High-Top Shoes For Men That Keep Up With Real Life","50","","0","Indexable",""
"https://offlimits.co.in/collections/casual-shoes-men","1","Casual Shoes For Men: How OffLimits Keeps Your Moves Stylish & Easy","67","","0","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men?srsltid=AfmBOoqGT_qNT3Pt8Sb5bzRrxU_xuGBTzCCycxgJRfAaOm41ofyk63nI&utm_source=chatgpt.com","1","Black Shoes For Men for Everyday Wear","37","","0","Non-Indexable","Canonicalised"
"https://offlimits.co.in/collections/basketball-boots","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/all","0","","0","","0","Indexable",""
"https://offlimits.co.in/blogs/blogs","5","The Ultimate Gym Shoes Guide for Better Performance and Comfort","63","How to Elevate Your Athleisure Style Beyond the Gym","51","Indexable",""
"https://offlimits.co.in/collections/black-shoes-for-men","1","Black Shoes For Men for Everyday Wear","37","","0","Indexable",""
"https://offlimits.co.in/collections/mens-bestsellers","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","0","","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-shoes","4","Shoes for Men Who Train, Hustle & Live Loud","43","Why Shoes For Men Matter Right Now","34","Indexable",""
"https://offlimits.co.in/collections/mens-shoes","0","","0","","0","Indexable",""
