"Address","Occurrences","H2-1","H2-1 Length","Indexability","Indexability Status"
"https://offlimits.co.in/collections/men-clothing","0","","0","Indexable",""
"https://offlimits.co.in/collections/white-sneaker","0","","0","Indexable",""
"https://offlimits.co.in/collections/new-arrivals","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-walking","0","","0","Indexable",""
"https://offlimits.co.in/pages/shipping-policy","0","","0","Indexable",""
"https://offlimits.co.in/pages/about-us","0","","0","Indexable",""
"https://offlimits.co.in/collections/women-hoodies-jackets","0","","0","Indexable",""
"https://offlimits.co.in/collections/women-lifestyle","0","","0","Indexable",""
"https://offlimits.co.in/collections/limited-edition","0","","0","Indexable",""
"https://offlimits.co.in/collections/mens-running-gym-shoes","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-lifestyle-recover-kicks","0","","0","Indexable",""
"https://offlimits.co.in/collections/men-shorts","0","","0","Indexable",""
